"OCQ550.Code.or.Value","OCQ550.Value.Description","OCQ550.Count","OCQ550.Cumulative","OCQ550.Skip.to.Item"
"1","Yes",1195,1195,""
"2","No",4053,5248,"OCQ570"
"7","Refused",2,5250,"OCQ570"
"9","Don't know",2,5252,"OCQ570"
".","Missing",923,6175,""
