"WTSPO16.Code.or.Value","WTSPO16.Value.Description","WTSPO16.Count","WTSPO16.Cumulative","WTSPO16.Skip.to.Item"
"0.0000000 to 874963.9937500","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
