"RFXC084.Code.or.Value","RFXC084.Value.Description","RFXC084.Count","RFXC084.Cumulative","RFXC084.Skip.to.Item"
"-7.428 to 5.134","Range of Values",33695,33695,NA
".","Missing",26,33721,NA
