"WTSCI46.Code.or.Value","WTSCI46.Value.Description","WTSCI46.Count","WTSCI46.Cumulative","WTSCI46.Skip.to.Item"
"0 to 480468.6574","Range of Values",727,727,NA
".","Missing",51,778,NA
