"FSQ470.Code.or.Value","FSQ470.Value.Description","FSQ470.Count","FSQ470.Cumulative","FSQ470.Skip.to.Item"
"1","Yes",79,79,NA
"2","No",835,914,NA
"7","Refused",0,914,NA
"9","Don't know",5,919,NA
".","Missing",9203,10122,NA
