"OPDDEXU.Code.or.Value","OPDDEXU.Value.Description","OPDDEXU.Count","OPDDEXU.Cumulative","OPDDEXU.Skip.to.Item"
"0","No",3106,3106,NA
"1","Yes",9,3115,NA
".","Missing",748,3863,NA
