"URDCB3LC.Code.or.Value","URDCB3LC.Value.Description","URDCB3LC.Count","URDCB3LC.Cumulative","URDCB3LC.Skip.to.Item"
"0","At or above the detection limit",41,41,NA
"1","Below lower detection limit",2705,2746,NA
".","Missing",85,2831,NA
