"DX2RLBMC.Code.or.Value","DX2RLBMC.Value.Description","DX2RLBMC.Count","DX2RLBMC.Cumulative","DX2RLBMC.Skip.to.Item"
"197.74 to 846.71","Range of Values",466,466,NA
".","Missing",19,485,NA
