"URD5NALC.Code.or.Value","URD5NALC.Value.Description","URD5NALC.Count","URD5NALC.Cumulative","URD5NALC.Skip.to.Item"
"0","At or above detection limit",3,3,NA
"1","Below lower detection limit",2755,2758,NA
".","Missing",521,3279,NA
