"ECD070B.Code.or.Value","ECD070B.Value.Description","ECD070B.Count","ECD070B.Cumulative","ECD070B.Skip.to.Item"
"0 to 15","Range of Values",3007,3007,NA
"7777","Refused",0,3007,NA
"9999","Don't know",85,3092,NA
".","Missing",1,3093,NA
