"FSD670ZC.Code.or.Value","FSD670ZC.Value.Description","FSD670ZC.Count","FSD670ZC.Cumulative","FSD670ZC.Skip.to.Item"
"0 to 60","Range of Values",864,864,NA
"777","Refused",0,864,NA
"999","Don't know",9,873,NA
".","Missing",8381,9254,NA
