"DSXDP1LD.Code.or.Value","DSXDP1LD.Value.Description","DSXDP1LD.Count","DSXDP1LD.Cumulative","DSXDP1LD.Skip.to.Item"
"0.6 to 0.6","Range of Values",3233,3233,NA
".","Missing",6207,9440,NA
