"WBXA093.Code.or.Value","WBXA093.Value.Description","WBXA093.Count","WBXA093.Cumulative","WBXA093.Skip.to.Item"
"-8.5804 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
