"URDUPTLC.Code.or.Value","URDUPTLC.Value.Description","URDUPTLC.Count","URDUPTLC.Cumulative","URDUPTLC.Skip.to.Item"
"0","At or above the detection limit",332,332,NA
"1","Below lower detection limit",2515,2847,NA
".","Missing",94,2941,NA
