"DXXPT42Y.Code.or.Value","DXXPT42Y.Value.Description","DXXPT42Y.Count","DXXPT42Y.Cumulative","DXXPT42Y.Skip.to.Item"
"160.3 to 391.5","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
