"DBD221a.Code.or.Value","DBD221a.Value.Description","DBD221a.Count","DBD221a.Cumulative","DBD221a.Skip.to.Item"
"10","Whole or regular,",4782,4782,NA
"77","Refused",0,4782,NA
"99","Don't know",17,4799,NA
".","Missing",6240,11039,NA
