"URDTNE2.Code.or.Value","URDTNE2.Value.Description","URDTNE2.Count","URDTNE2.Cumulative","URDTNE2.Skip.to.Item"
"0.0002284 to 402.5","Range of Values",2685,2685,NA
".","Missing",294,2979,NA
