"RFXT166.Code.or.Value","RFXT166.Value.Description","RFXT166.Count","RFXT166.Cumulative","RFXT166.Skip.to.Item"
"1450 to 1459","Range of Values",33667,33667,NA
".","Missing",54,33721,NA
