"LBXPDT.Code.or.Value","LBXPDT.Value.Description","LBXPDT.Count","LBXPDT.Cumulative","LBXPDT.Skip.to.Item"
"0.0071 to 7.4432","Range of Values",1965,1965,NA
".","Missing",372,2337,NA
