"WTS_FFQ.Code.or.Value","WTS_FFQ.Value.Description","WTS_FFQ.Count","WTS_FFQ.Cumulative","WTS_FFQ.Skip.to.Item"
"1432.8736242 to 549018.49194","Range of Values",5549,5549,NA
".","Missing",464,6013,NA
