"TYXA144.Code.or.Value","TYXA144.Value.Description","TYXA144.Count","TYXA144.Cumulative","TYXA144.Skip.to.Item"
"0.09 to 6.467","Range of Values",3880,3880,NA
".","Missing",1705,5585,NA
