"CIQG10.Code.or.Value","CIQG10.Value.Description","CIQG10.Count","CIQG10.Cumulative","CIQG10.Skip.to.Item"
"1","All Day Long",2,2,NA
"2","Most of the Day",6,8,NA
"3","About Half",6,14,NA
"4","Less than Half",3,17,NA
"7","Refused",0,17,NA
"9","Don't know",0,17,NA
".","Missing",833,850,NA
