"WTSAU16.Code.or.Value","WTSAU16.Value.Description","WTSAU16.Count","WTSAU16.Cumulative","WTSAU16.Skip.to.Item"
"0 to 484239.36208","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
