"OSQ030ce.Code.or.Value","OSQ030ce.Value.Description","OSQ030ce.Count","OSQ030ce.Cumulative","OSQ030ce.Skip.to.Item"
"74","74",1,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",5410,5411,NA
