"WTSCI37.Code.or.Value","WTSCI37.Value.Description","WTSCI37.Count","WTSCI37.Cumulative","WTSCI37.Skip.to.Item"
"0 to 454868.25874","Range of Values",727,727,NA
".","Missing",51,778,NA
