"DX2LSBMD.Code.or.Value","DX2LSBMD.Value.Description","DX2LSBMD.Count","DX2LSBMD.Cumulative","DX2LSBMD.Skip.to.Item"
"0.605 to 1.724","Range of Values",443,443,NA
".","Missing",42,485,NA
