"DSD120Q.Code.or.Value","DSD120Q.Value.Description","DSD120Q.Count","DSD120Q.Cumulative","DSD120Q.Skip.to.Item"
"0.08 to 1000","Range of Values",6934,6934,NA
"7777","Refused",0,6934,NA
"9999","Don't know",1,6935,NA
".","Missing",704,7639,NA
