"DXXWDGRT.Code.or.Value","DXXWDGRT.Value.Description","DXXWDGRT.Count","DXXWDGRT.Cumulative","DXXWDGRT.Skip.to.Item"
"0.7 to 1.4","Range of Values",3251,3251,NA
".","Missing",457,3708,NA
