"WTSHM33.Code.or.Value","WTSHM33.Value.Description","WTSHM33.Count","WTSHM33.Cumulative","WTSHM33.Skip.to.Item"
"0.0000000 to 766491.6560600","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
