"DBQ740.Code.or.Value","DBQ740.Value.Description","DBQ740.Count","DBQ740.Cumulative","DBQ740.Skip.to.Item"
"1","Yes",2643,2643,NA
"2","No",3410,6053,NA
"7","Refused",1,6054,NA
"9","Don't know",26,6080,NA
".","Missing",4268,10348,NA
