"TYXP056.Code.or.Value","TYXP056.Value.Description","TYXP056.Count","TYXP056.Cumulative","TYXP056.Skip.to.Item"
"-114 to 178","Range of Values",5582,5582,NA
".","Missing",3,5585,NA
