"BIXS039K.Code.or.Value","BIXS039K.Value.Description","BIXS039K.Count","BIXS039K.Cumulative","BIXS039K.Skip.to.Item"
"325.01 to 931.91","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
