"DXXVATV.Code.or.Value","DXXVATV.Value.Description","DXXVATV.Count","DXXVATV.Cumulative","DXXVATV.Skip.to.Item"
"0","Valid",4056,4056,NA
"1","Invalid",301,4357,NA
".","Missing",757,5114,NA
