"DX2LLLE.Code.or.Value","DX2LLLE.Value.Description","DX2LLLE.Count","DX2LLLE.Cumulative","DX2LLLE.Skip.to.Item"
"3464.8 to 15424.4","Range of Values",467,467,NA
".","Missing",18,485,NA
