"URXCHS.Code.or.Value","URXCHS.Value.Description","URXCHS.Count","URXCHS.Cumulative","URXCHS.Skip.to.Item"
"0.0354 to 4.17","Range of Values",2566,2566,NA
".","Missing",128,2694,NA
