"BAQ080A.Code.or.Value","BAQ080A.Value.Description","BAQ080A.Count","BAQ080A.Cumulative","BAQ080A.Skip.to.Item"
"1","Yes",300,300,NA
"2","No",110,410,NA
"7","Refused",0,410,NA
"9","Don't know",8,418,NA
".","Missing",2881,3299,NA
