"BAXPFC21.Code.or.Value","BAXPFC21.Value.Description","BAXPFC21.Count","BAXPFC21.Cumulative","BAXPFC21.Skip.to.Item"
"1","Pass",2287,2287,"BAXPFC31"
"2","Dnp(did not pass)",193,2480,""
".","Missing",606,3086,""
