"DS1TVB6.Code.or.Value","DS1TVB6.Value.Description","DS1TVB6.Count","DS1TVB6.Cumulative","DS1TVB6.Skip.to.Item"
"0.03 to 500","Range of Values",1454,1454,NA
".","Missing",7250,8704,NA
