"OPDSD500.Code.or.Value","OPDSD500.Value.Description","OPDSD500.Count","OPDSD500.Cumulative","OPDSD500.Skip.to.Item"
"0","No",2965,2965,NA
"1","Yes",90,3055,NA
".","Missing",808,3863,NA
