"URDTCCLC.Code.or.Value","URDTCCLC.Value.Description","URDTCCLC.Count","URDTCCLC.Cumulative","URDTCCLC.Skip.to.Item"
"0","At or above the detection limit",660,660,NA
"1","Below lower detection limit",1962,2622,NA
".","Missing",137,2759,NA
