"PAXSSNDP.Code.or.Value","PAXSSNDP.Value.Description","PAXSSNDP.Count","PAXSSNDP.Cumulative","PAXSSNDP.Skip.to.Item"
"0 to 52651200","Range of Values",69018,69018,NA
".","Missing",0,69018,NA
