"HIQ270.Code.or.Value","HIQ270.Value.Description","HIQ270.Count","HIQ270.Cumulative","HIQ270.Skip.to.Item"
"1","Yes",7678,7678,NA
"2","No",379,8057,NA
"7","Refused",4,8061,NA
"9","Don't know",110,8171,NA
".","Missing",1083,9254,NA
