"WTAL2YR.Code.or.Value","WTAL2YR.Value.Description","WTAL2YR.Count","WTAL2YR.Cumulative","WTAL2YR.Skip.to.Item"
"0 to 222708.18031","Range of Values",9440,9440,NA
".","Missing",0,9440,NA
