"PSQ120.Code.or.Value","PSQ120.Value.Description","PSQ120.Count","PSQ120.Cumulative","PSQ120.Skip.to.Item"
"1","Yes",1,1,"PSQ210"
"2","No",0,1,"PSQ210"
"7","Refused",0,1,"PSQ210"
"9","Don't know",0,1,"PSQ210"
".","Missing",51,52,""
