"OCQ290G.Code.or.Value","OCQ290G.Value.Description","OCQ290G.Count","OCQ290G.Cumulative","OCQ290G.Skip.to.Item"
"1","Enter number",482,482,NA
"2","Never",3015,3497,NA
"7","Refused",1,3498,NA
"9","Don't know",5,3503,NA
".","Missing",3386,6889,NA
