"LBXPFSA.Code.or.Value","LBXPFSA.Value.Description","LBXPFSA.Count","LBXPFSA.Cumulative","LBXPFSA.Skip.to.Item"
"0.07 to 0.62","Range of Values",1904,1904,NA
".","Missing",273,2177,NA
