"URDOP1LC.Code.or.Value","URDOP1LC.Value.Description","URDOP1LC.Count","URDOP1LC.Cumulative","URDOP1LC.Skip.to.Item"
"0","At or above the detection limit",2712,2712,NA
"1","Below lower detection limit",89,2801,NA
".","Missing",185,2986,NA
