"VTQ261A.Code.or.Value","VTQ261A.Value.Description","VTQ261A.Count","VTQ261A.Cumulative","VTQ261A.Skip.to.Item"
"1","Yes",92,92,""
"2","No",2669,2761,"VTQ271A"
"7","Refused",0,2761,"VTQ271A"
"9","Don't know",7,2768,"VTQ271A"
".","Missing",404,3172,""
