"LBDZOXLC.Code.or.Value","LBDZOXLC.Value.Description","LBDZOXLC.Count","LBDZOXLC.Cumulative","LBDZOXLC.Skip.to.Item"
"0","Result at or above the limit of detection.",602,602,NA
"1","Result below the limit of detection.",44,646,NA
".","Missing",205,851,NA
