"CBQ506.Code.or.Value","CBQ506.Value.Description","CBQ506.Count","CBQ506.Cumulative","CBQ506.Skip.to.Item"
"1","Yes",3772,3772,""
"2","No",431,4203,"CBQ551"
"7","Refused",0,4203,""
"9","Don't know",0,4203,""
".","Missing",1061,5264,""
