"RHQ240F.Code.or.Value","RHQ240F.Value.Description","RHQ240F.Count","RHQ240F.Cumulative","RHQ240F.Skip.to.Item"
"15","Other reasons",164,164,NA
".","Missing",3701,3865,NA
