"LBXTNA.Code.or.Value","LBXTNA.Value.Description","LBXTNA.Count","LBXTNA.Cumulative","LBXTNA.Skip.to.Item"
"0.0071 to 3.1553","Range of Values",1955,1955,NA
".","Missing",382,2337,NA
