"DS2TNIAC.Code.or.Value","DS2TNIAC.Value.Description","DS2TNIAC.Count","DS2TNIAC.Cumulative","DS2TNIAC.Skip.to.Item"
"0.3 to 1520","Range of Values",1161,1161,NA
".","Missing",7543,8704,NA
