"DXXLSA.Code.or.Value","DXXLSA.Value.Description","DXXLSA.Count","DXXLSA.Cumulative","DXXLSA.Skip.to.Item"
"9.99 to 85.14","Range of Values",3912,3912,NA
".","Missing",1202,5114,NA
