"LB2VIA.Code.or.Value","LB2VIA.Value.Description","LB2VIA.Count","LB2VIA.Cumulative","LB2VIA.Skip.to.Item"
"8 to 169.6","Range of Values",545,545,NA
".","Missing",6,551,NA
