"PSQ240.Code.or.Value","PSQ240.Value.Description","PSQ240.Count","PSQ240.Cumulative","PSQ240.Skip.to.Item"
"1","True",14,14,NA
"2","False",2,16,NA
"7","Refused",0,16,NA
"9","Don't know",8,24,NA
".","Missing",28,52,NA
