"VTQ030.Code.or.Value","VTQ030.Value.Description","VTQ030.Count","VTQ030.Cumulative","VTQ030.Skip.to.Item"
"1","Yes",201,201,NA
"2","No",449,650,NA
"7","Refused",0,650,NA
"9","Don't know",0,650,NA
".","Missing",201,851,NA
