"RFXC012.Code.or.Value","RFXC012.Value.Description","RFXC012.Count","RFXC012.Cumulative","RFXC012.Skip.to.Item"
"-4.568 to 4.372","Range of Values",33713,33713,NA
".","Missing",8,33721,NA
