"WBXP015.Code.or.Value","WBXP015.Value.Description","WBXP015.Count","WBXP015.Cumulative","WBXP015.Skip.to.Item"
"-22.5785 to 177.422","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
