"AUXRR260.Code.or.Value","AUXRR260.Value.Description","AUXRR260.Count","AUXRR260.Cumulative","AUXRR260.Skip.to.Item"
"-19 to 71","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
