"LBDFOTSI.Code.or.Value","LBDFOTSI.Value.Description","LBDFOTSI.Count","LBDFOTSI.Cumulative","LBDFOTSI.Skip.to.Item"
"3.27 to 573","Range of Values",4571,4571,NA
".","Missing",521,5092,NA
