"OPDSSUBH.Code.or.Value","OPDSSUBH.Value.Description","OPDSSUBH.Count","OPDSSUBH.Cumulative","OPDSSUBH.Skip.to.Item"
"0","No",3095,3095,NA
"1","Yes",5,3100,NA
".","Missing",763,3863,NA
