"DMDHHSZE.Code.or.Value","DMDHHSZE.Value.Description","DMDHHSZE.Count","DMDHHSZE.Cumulative","DMDHHSZE.Skip.to.Item"
"0","0",6125,6125,NA
"1","1",1788,7913,NA
"2","2",1270,9183,NA
"3","3 or more",71,9254,NA
".","Missing",0,9254,NA
