"LBXBAP.Code.or.Value","LBXBAP.Value.Description","LBXBAP.Count","LBXBAP.Cumulative","LBXBAP.Skip.to.Item"
"2.8 to 445","Range of Values",4877,4877,NA
".","Missing",4302,9179,NA
